step,district,population,perimeter,area,polsby_popper,dem_votes,rep_votes,other_votes
2000,2,813243.0,1952858.2944855264,162223032243.72498,0.5345408717582947,95474,266282,18485
2000,1,815351.0,892631.2296540522,26759173260.613163,0.4220252166630311,165537,163585,17651
2000,3,825357.0,543053.4993484203,3065820335.9909716,0.13063854402621697,180596,203053,22630
2000,4,817665.0,822238.3868868719,27760650461.873085,0.5159932320127512,118675,232220,22454
2020,2,815960.0,882402.7999058197,27896707611.095505,0.4502244328237866,118546,231197,22361
2020,1,815991.0,2283161.266438449,186032165098.23755,0.4484610489569744,100623,261480,18609
2020,3,821151.0,410599.1768029566,2844033865.223622,0.21198663388426695,206216,131642,16921
2020,4,818514.0,429343.3751380373,3035769727.645505,0.20695177606760734,134897,240821,23329
2040,2,817143.0,939470.0841263391,27339454562.750114,0.38925464110896796,120518,234409,22906
2040,1,818309.0,884895.3585678013,27792733828.209003,0.44602304458521164,121910,230355,22357
2040,3,821760.0,2065695.1031489884,162262930721.3816,0.47785566590705764,97175,271169,18830
2040,4,814404.0,412612.31972135074,2413557189.861507,0.17814887171749336,220679,129207,17127
2060,2,823873.0,421757.8774078479,3310221737.6696806,0.2338517070690034,208799,133389,17330
2060,1,819333.0,2371211.2748359255,156940963531.61072,0.35075645811282025,103600,257236,19214
2060,3,816224.0,915473.5247405062,27299107061.009712,0.40932354571078955,117829,229983,22080
2060,4,812186.0,1264165.7703406878,32258383971.912098,0.2536555781900343,130054,244532,22596
2080,2,817855.0,867188.7790141639,28333692962.942932,0.4734626756142988,119887,225293,21828
2080,1,824618.0,1298386.5539453938,25026841231.277977,0.1865554254887151,186435,199674,22739
2080,3,816948.0,950825.514294619,22108245090.971767,0.307299943586312,165729,166657,17940
2080,4,812195.0,2506691.406250815,144339897017.0095,0.2886652532784546,88231,273516,18713
2100,2,822759.0,854276.7338884376,28510801968.968002,0.49093290341194196,118515,222493,21226
2100,1,810235.0,807563.7203500542,9557630668.353983,0.18416475010024808,202983,189705,22833
2100,3,813015.0,239415.31828774256,1017085232.372608,0.22297868226104206,154325,176577,18410
2100,4,825607.0,2110610.2420212496,180723158432.50754,0.5098091072354389,84459,276365,18751
2120,2,825512.0,987449.4200317147,24587080592.12749,0.31687436812173864,169843,180336,18889
2120,1,819880.0,217856.68459695508,1159369258.57745,0.30696570970453585,161093,188208,19321
2120,3,811899.0,1499931.134188674,44484102450.01183,0.24846891097557272,107798,236680,23375
2120,4,814325.0,2496939.5855293055,149578124001.48532,0.3014823396565024,121548,259916,19635
2140,2,824330.0,226141.3035594172,731472485.3068138,0.17974138178160248,227623,135559,17794
2140,1,820274.0,976904.6164919541,24927762471.783493,0.3282379850284709,119968,232818,22377
2140,3,811074.0,2317891.985247232,163823121931.5474,0.38317633073797835,96964,268498,19287
2140,4,815938.0,956646.3614155948,30326319413.56436,0.4164153410671725,115727,228265,21762
2160,2,811487.0,288677.6875025393,1176812411.2677596,0.17745599215352978,199831,168247,18705
2160,1,822800.0,847288.4175857981,28441791247.477417,0.4978566004380549,118946,233172,22494
2160,3,811546.0,2200538.9152577408,159219900446.24957,0.4131893372765398,133274,240997,18358
2160,4,825783.0,1023456.6459194863,30970172197.20729,0.3715477050635379,108231,222724,21663
2180,2,824521.0,883365.1438616023,28299062117.80122,0.45572346317748363,124949,231759,22244
2180,1,812607.0,300543.04227856564,1746042020.687131,0.24291324676120565,218406,133644,17563
2180,3,815497.0,2207427.6043894687,160157934740.99017,0.41303360271194456,87993,261714,19008
2180,4,818991.0,1399479.6784265717,29605637422.723503,0.18995515634958898,128934,238023,22405
2200,2,812546.0,254733.1280245575,944489228.0069395,0.18290939612969864,202597,137329,17277
2200,1,813174.0,1812106.9733839883,67230644785.65792,0.25728204390026205,146737,229163,21515
2200,3,821086.0,828235.0413978687,27428204023.366722,0.5024583102345896,118681,234504,22591
2200,4,824810.0,2071452.829128103,124205338265.17046,0.36374751065917554,92267,264144,19837
2220,2,811124.0,885576.4085635748,27364757565.52704,0.4384795988975755,117956,230013,22340
2220,1,825896.0,271608.6962171775,1319450006.9569178,0.22475815692494758,196653,135166,17116
2220,3,823947.0,2264129.252331374,158992853204.62524,0.3897490232547494,148630,266076,18740
2220,4,810649.0,1047572.033424892,32131615525.092846,0.3679379923200051,97043,233885,23024
2240,2,823052.0,221028.20677517628,974651940.9789767,0.25070558885706096,171765,160198,17935
2240,1,810552.0,1199330.9686381086,38255020102.27907,0.33421058648927787,112340,227840,20625
2240,3,821926.0,909996.7479056185,20838064462.56145,0.3162187085595043,109746,239717,24274
2240,4,816086.0,2112947.2954881443,159740939796.3825,0.44962326041452433,166431,237385,18386
2260,2,825536.0,345382.2654117519,2229451556.9946613,0.23485934028173203,168398,153820,17634
2260,1,821444.0,2168618.3528928636,158118400212.05518,0.4224993235461476,163128,244125,18007
2260,3,812483.0,1091383.214719127,31510461645.57673,0.33243756275176123,111312,235114,23412
2260,4,812153.0,820731.1259362535,27950362887.575443,0.5214293902731526,117444,232081,22167
2280,2,816972.0,2095362.8834580341,182898831001.67856,0.5234826597175776,96730,275541,18573
2280,1,822582.0,380158.2874771211,2573183462.322751,0.22374415068264658,213826,134811,17771
2280,3,816832.0,285139.068093653,1375566353.9860299,0.21260719454593785,134535,223726,23140
2280,4,815230.0,1096701.2530133533,32961095484.21462,0.34437754208279575,115191,231062,21736
2300,2,824910.0,720531.7958844358,7838537964.151098,0.18973114584445128,214126,181258,22228
2300,1,813187.0,822581.6197024671,23420829968.03424,0.43496483037666805,148478,173385,17694
2300,3,821237.0,2131059.172309433,147991009121.1029,0.4095002564167081,85526,279027,20004
2300,4,812282.0,1464883.034211627,40558299248.91369,0.23751098507063467,112152,231470,21294
2320,2,824591.0,848406.539869962,14402862256.798374,0.25144943039296197,172096,169611,18392
2320,1,810658.0,991216.699337922,19668293649.759792,0.2515586917627079,181518,190469,21997
2320,3,820145.0,875839.4083720279,27689314964.688114,0.4536000676954344,121279,222224,21471
2320,4,816222.0,2421288.4209893504,158048205430.95563,0.33877112213308175,85389,282836,19360
2340,2,817723.0,333447.67985017574,2106668151.2459795,0.2380951746087341,197246,131733,17354
2340,1,823977.0,1250217.2128685727,32490492851.867275,0.26121325765940673,122674,234787,22192
2340,3,816258.0,2156853.595231819,155431139043.5025,0.4198619904357842,115739,259363,19016
2340,4,813658.0,1020451.7235451441,29780376255.586174,0.35938100381864624,124623,239257,22658
2360,2,819372.0,1193129.6213976988,44186539586.10261,0.39005387777746114,116628,217460,20895
2360,1,813222.0,623908.4710996114,14340155932.487799,0.4629370856083015,117532,229897,22177
2360,3,824443.0,2018178.2680844157,157906113599.34918,0.4871803444175045,91849,278165,20351
2360,4,814579.0,436403.9148659426,3375867184.2623634,0.22275011670102096,234273,139618,17797
2380,2,820388.0,2059984.046633103,170890094241.8038,0.5060565370099848,82830,267073,18910
2380,1,811555.0,1010182.1702385291,32191124172.33324,0.39641183268510927,125368,229438,21775
2380,3,823563.0,810313.749795944,12338357789.453247,0.23613524149995327,147026,230872,23186
