step,district,population,perimeter,area,polsby_popper,dem_votes,rep_votes,other_votes
2000,2,816748.0,308575.4031738489,1518973861.0007417,0.2004645365371942,148813,230379,23570
2000,1,821182.0,1285313.5866248072,38512477702.617004,0.2929497469552145,123563,234059,21389
2000,3,820399.0,2207043.107415343,176283064324.98016,0.45477734686978644,83517,268655,18378
2000,4,813287.0,375221.70071712614,3494160413.6045456,0.31187230349848005,204389,132047,17883
2020,2,812969.0,2127231.1372435987,51325961635.64492,0.14253371224558362,110533,236083,21064
2020,1,820648.0,2587044.0612882683,160813130204.31702,0.3019421329134946,92795,264513,19564
2020,3,815984.0,530032.8040326203,3013164330.575161,0.13478053730539727,220904,179556,21769
2020,4,822015.0,456957.6149158237,4656420131.6652155,0.28022713346545514,136050,184988,18823
2040,2,823802.0,2254003.2041981113,181104635631.96048,0.4479508579222445,91124,273071,19044
2040,1,813943.0,432738.1450418895,2175351461.553837,0.1459785144418978,191626,203670,22657
2040,3,814006.0,773765.235866345,8631816608.042788,0.1811730691525341,145138,168537,18273
2040,4,819865.0,881222.894592487,27896872600.645336,0.45143355761878956,132394,219862,21246
2060,2,818491.0,793195.5387029122,5618517222.120215,0.11222020422067308,164892,221826,22781
2060,1,817329.0,1709952.5805254215,48893320310.26653,0.21013154854941923,112122,238050,21441
2060,3,813433.0,432938.25403998035,2575689229.718296,0.1726837229595209,195810,134302,17319
2060,4,822363.0,2192177.7392431526,162721149540.09747,0.42550272036654335,87458,270962,19679
2080,2,820713.0,1457130.1746127326,35972551207.582985,0.21290428385610977,111075,237095,23205
2080,1,815099.0,458171.1960068657,1873631313.085699,0.1121601120254959,218585,164899,18941
2080,3,813538.0,1022361.2584411016,13696535511.560114,0.1646689908890597,129562,223300,22470
2080,4,822266.0,2267209.0022582533,168265958269.9738,0.4113609028719971,101060,239846,16604
2100,2,811280.0,829232.2697514948,28281151383.891685,0.5168381481288693,116877,232431,22106
2100,1,817892.0,882669.0987430097,9402172322.84574,0.1516499338857636,174721,204465,23264
2100,3,820953.0,2456698.538876983,163660838261.37646,0.34076179731815326,84489,282378,18548
2100,4,821491.0,1069183.3728059703,18464514334.088673,0.2029753787527884,184195,145866,17302
2120,2,812794.0,716525.9882594699,7709474148.706001,0.18869949023563706,201260,199062,22533
2120,1,823656.0,2522628.0861529964,178436577846.10327,0.35236056370099694,84338,267153,18872
2120,3,822168.0,957393.1596465297,28446713048.854282,0.38999704418867176,125977,231447,22017
2120,4,812998.0,787982.7384221837,5215911258.538913,0.1055617667024597,148707,167478,17798
2140,2,822858.0,307261.55728488683,1548787271.7409587,0.20615087390707432,193468,140351,17781
2140,1,819166.0,1781548.8920835769,38429395010.8232,0.15215208939997943,123133,232724,21803
2140,3,815335.0,2420856.5621730643,174875731285.96585,0.3749741176552814,90466,272286,17906
2140,4,814257.0,610765.9273006425,4954762733.672372,0.16691029480147082,153215,219779,23730
2160,2,819871.0,1377284.2420502515,17102720079.69478,0.11329947422221645,178127,199884,22473
