step,district,population,perimeter,area,polsby_popper,dem_votes,rep_votes,other_votes
2000,2,821439.0,2010598.7179757366,161589386285.83615,0.5023100795073191,96409,264767,18790
2000,1,815570.0,842480.8295800893,29167856240.665268,0.5164096153020903,116761,231466,22110
2000,3,814476.0,279726.38948030653,1245045712.414669,0.19995316437432473,222607,130765,17407
2000,4,820131.0,987637.9100623645,27806388063.285854,0.35822751457365765,124505,238142,22913
2020,2,823581.0,2049318.0965121258,158472896028.91882,0.4741831401787258,101617,263236,20039
2020,1,814206.0,1066175.715229078,32043541201.54917,0.35423608266420836,115938,198166,19398
2020,3,821321.0,281084.4310915597,1069531430.9720058,0.1701099956540693,225920,173149,19768
2020,4,812508.0,845639.7639088465,28222707640.761948,0.49594983299601536,116807,230589,22015
2040,2,818766.0,404534.82068366196,2702884165.992075,0.20755130981268566,225802,169627,19214
2040,1,812104.0,799946.017427332,26814582455.375828,0.5265741574896896,117595,231189,22292
2040,3,822225.0,2051393.992294293,169679271456.09473,0.5066878568279882,89140,275915,19452
2040,4,818521.0,905791.2559074478,20611938224.739326,0.3156984491343266,127745,188409,20262
2060,2,822923.0,284182.5203750516,1251993661.1198623,0.19481270238084247,220302,180175,19878
2060,1,814213.0,1230591.1834852071,46227987496.15329,0.38360764399688324,119231,188559,18678
2060,3,823414.0,865935.4103331824,28167519998.223236,0.4720494288415471,125361,230113,22129
2060,4,811066.0,2062620.8799384614,144161175146.7056,0.4258134333893416,95388,266293,20535
2080,2,812293.0,664623.6180348217,6939235277.147674,0.19741035799885956,168096,147919,17741
2080,1,823264.0,977881.5937700414,28288890774.089294,0.3717519365029908,162070,217579,21801
2080,3,823411.0,1061999.1879264463,26247601560.441856,0.29244965915184923,132427,234252,23385
2080,4,812648.0,1944479.0206502958,158332948690.52316,0.5262288330959061,97689,265390,18293
2100,2,818041.0,2147228.51843894,147793622191.05643,0.4028181438509289,106206,264031,18959
2100,1,823340.0,1080690.9159852786,34916609736.782845,0.375698041421633,116879,236983,21828
2100,3,819822.0,299086.7786186363,1448923897.5550485,0.20354526746171925,210835,128509,17579
2100,4,810413.0,1187750.6455355359,35649520476.80767,0.3175506501750234,126362,235617,22854
2120,2,819029.0,2136757.8269785447,168855608264.9973,0.4647450220681289,97499,266549,18750
2120,1,825917.0,899552.7155329604,17277206042.346775,0.2683058480239792,141942,222794,21306
2120,3,812795.0,401132.9028937592,2594510621.7832384,0.20262300142599513,147859,225837,23138
2120,4,813875.0,1037029.6263608123,31081351373.074688,0.3631846039137713,172982,149960,18026
2140,2,822649.0,768983.7824229024,18515537588.570347,0.393470184102793,167800,171203,18052
2140,1,811634.0,873054.385903174,28743927774.308365,0.4738854561478181,116480,222546,21079
2140,3,812385.0,1917814.9189267494,129091219549.50664,0.4410554391632053,92687,263253,19299
2140,4,824948.0,1421593.2336828527,43457991389.816696,0.27022704874182485,183315,208138,22790
2160,2,809973.0,751016.241676983,22084016808.706852,0.49202738423281694,137246,175008,17775
2160,1,825055.0,1456355.9855097323,39872188771.127426,0.23623533105790973,211954,196716,20851
2160,3,818772.0,1920228.882381202,130430142403.27588,0.4445103085984818,93428,260931,20261
2160,4,817816.0,866723.6864071323,27422328319.091866,0.45872547537225344,117654,232485,22333
2180,2,819756.0,526616.0710389814,4137701957.244933,0.18749118400836612,133383,230150,24121
2180,1,811763.0,802667.4090201446,27682504193.176632,0.5399381066958073,116981,231642,22300
2180,3,821512.0,1048110.8118087156,37631530293.2511,0.4304744119205284,145974,186773,18768
2180,4,818585.0,2157190.417006349,150356939858.52936,0.40602836799811526,163944,216575,16031
2200,2,823085.0,831281.1282061603,27827864646.969563,0.5060505530942884,118993,229811,22181
2200,1,810833.0,800320.1963759575,20128489443.553066,0.3949057842583779,169539,179882,18783
2200,3,813059.0,2163613.3648231667,167032506621.44363,0.4483854915513994,166120,221355,16351
2200,4,824639.0,473819.62234717316,4819815590.23581,0.26978276513458455,105630,234092,23905
2220,2,822092.0,813405.9454034565,27583466312.581364,0.5238947188828569,119488,232871,22598
2220,1,820750.0,2289715.664404694,157685807614.00165,0.37795436057044285,92612,263218,20000
2220,3,817138.0,254743.78299818584,1256874857.1566749,0.24338550774202572,211654,125953,16905
2220,4,811636.0,1527797.52927036,33282527518.46248,0.17918207313413528,136528,243098,21717
2240,2,811390.0,2504688.666763887,169294626665.10516,0.3391138571831204,139932,246673,16829
2240,1,820325.0,810611.5069961258,18749846437.055668,0.35857668696310396,153322,162718,17319
2240,3,822155.0,822506.4557075289,26719676469.375923,0.49632074565781925,119557,233023,22596
2240,4,817746.0,554823.8861167807,5044526730.665469,0.20593017656176155,147471,222726,24476
2260,2,814457.0,1451490.990783474,34974535224.60113,0.20860904108972844,102758,232194,23702
2260,1,824693.0,849940.464334893,18283552150.926926,0.3180485553537228,120072,233456,22669
2260,3,813176.0,220542.1790074609,1284366728.68463,0.3318299551567265,210063,126300,16790
2260,4,819290.0,2443091.81078466,165266222197.98956,0.34794803469244784,127389,273190,18059
2280,2,812595.0,1015144.414267198,28909367677.25344,0.3525273351492797,143832,210252,20192
2280,1,813887.0,1036680.7178788292,12957114838.439579,0.15150540627690068,210383,156852,19172
2280,3,821689.0,815515.7042294177,27814665247.10269,0.5255560554390343,118584,232596,22455
2280,4,823445.0,2082537.8383043744,150127528539.40652,0.4349951323498448,87483,265440,19401
2300,2,811847.0,1650047.2900944778,38395085167.3234,0.1772118326479134,183602,200606,20488
2300,1,824602.0,910410.1367646861,25530760807.88118,0.3870788584402632,126441,217634,21326
2300,3,820489.0,2064397.1848208643,122597363912.30205,0.36149681877265427,90830,263508,20757
2300,4,814678.0,1135580.900887542,33285466414.695587,0.3243607916658726,159409,183392,18649
2320,2,810117.0,919819.0951214973,10552741183.907026,0.15673655918716708,219839,176996,20196
2320,1,825920.0,868512.4168409267,27459935437.10834,0.4574644099313633,121005,232464,22672
2320,3,823073.0,2156044.610220774,154392189270.0964,0.4173685346309427,88559,265233,19714
2320,4,812506.0,882284.3072485067,27403810411.090458,0.4423883777650074,130879,190447,18638
2340,2,814440.0,908609.3576081962,29341736412.80883,0.4466231856293079,122945,209377,19996
2340,1,823905.0,2060507.9078152468,152509111187.24274,0.45139535201793657,88682,264081,19656
2340,3,814988.0,891178.34298975,25446091493.336796,0.40262589251473735,118507,230529,22407
2340,4,818283.0,944269.5441524808,12511737208.813866,0.17633377827533558,230148,161153,19161
2360,2,820384.0,2032613.9629296118,151757247718.99997,0.461582671450643,108136,260945,17739
2360,1,812251.0,298698.30378468835,1488199908.176676,0.2096069239720142,225108,131368,17480
2360,3,817370.0,1165284.0080289051,33794946085.571182,0.31275052629295047,107763,237784,23522
2360,4,821611.0,980910.1814578206,32768282589.454453,0.4279618532999396,119275,235043,22479
2380,2,820550.0,867587.949027855,29064627179.271427,0.4852299494596857,118613,235181,22551
2380,1,822107.0,852540.2253910493,23307322664.262154,0.40296979431218943,113317,237732,22404
2380,3,813581.0,664737.3124424854,6156589447.900752,0.1750854045072375,213582,123658,16784
2380,4,815378.0,2050718.1894435831,161280137010.76797,0.48192425054348015,114770,268569,19481
2400,2,819424.0,2061457.3031070996,161115165877.14862,0.4764283523576475,111668,266330,19051
2400,1,813253.0,919058.765269189,29193627441.528275,0.43432153413869373,117542,231040,22026
2400,3,816025.0,1231835.2239439234,28707680177.132103,0.23774025619796246,140127,223329,22555
2400,4,822914.0,225069.20181345812,792202806.3932769,0.19652332304377135,190945,144441,17588
2420,2,814977.0,2144299.642544464,159736230106.02545,0.4365583991064332,125630,261491,19262
2420,1,816128.0,1116017.8894701276,30424608616.217045,0.3069676091078575,106429,223849,22422
2420,3,816595.0,228113.84159934055,1313713708.7733335,0.31725415530750306,154358,180626,18431
2420,4,823916.0,953924.5106402347,28334123871.186466,0.3912835917526564,173865,199174,21105
2440,2,819171.0,258261.5958445457,1127004991.9426918,0.21233228977121812,183192,198020,20847
2440,1,814324.0,2054240.8795239697,162592426128.62213,0.48418066274413823,90920,268272,19347
2440,3,824996.0,1533922.0501531428,50244078055.332924,0.2683416986981665,104539,218719,20467
2440,4,813125.0,512798.44445145933,5845167126.304549,0.2793273099522324,181631,180129,20559
2460,2,814497.0,2004886.9399489788,161322054812.06137,0.5043404893862651,89597,263542,18921
2460,1,824865.0,935913.7584032079,28020905345.09783,0.4019947337649171,142852,236415,23003
2460,3,811059.0,951591.0587956659,29377718159.562,0.40768733359067766,131085,222331,21001
2460,4,821195.0,245584.171372027,1087997985.4810884,0.22669253115194463,196748,142852,18295
2480,2,810123.0,1000450.0077858865,29196182442.889603,0.3665600651042314,123079,227827,21347
2480,1,819088.0,366677.9081433793,2566134938.8886433,0.23983903253525957,199491,133444,17644
2480,3,824467.0,393209.92226503324,2742521021.1975007,0.22290042294052276,149762,230725,24305
2480,4,817938.0,2246491.7159519913,185303837899.22656,0.46140748496024486,87950,273144,17924
2500,2,823247.0,1016592.8031668919,29311072717.36522,0.3564080586766134,125619,231222,21861
2500,1,814280.0,307760.453916888,1468840103.2792084,0.194876179932936,183528,203076,22212
2500,3,812717.0,1983529.818019229,168197046559.21252,0.5372182558817039,87394,267722,18874
2500,4,821372.0,829139.7857132386,20831716922.345295,0.3807846381354701,163741,163120,18273
2520,2,813289.0,729631.2330464018,20833403088.10973,0.4917713775113696,135309,189441,18505
2520,1,825826.0,608278.5238640915,3715002878.0939193,0.1261723092882148,222295,183348,22096
2520,3,819486.0,845689.3601124925,28896443198.37485,0.5077296437965608,117814,228433,21857
2520,4,813015.0,2078273.928683872,166363827137.62378,0.4840198664627534,84864,263918,18762
2540,2,817299.0,2220468.8735897285,153528830477.5302,0.39130052122674314,85745,281220,19712
2540,1,810912.0,806607.4661087054,17284273293.772297,0.33383857157195485,164544,193615,19291
2540,3,821335.0,877795.8271079212,30082587209.056377,0.49061183957702187,118033,228988,21910
2540,4,822070.0,1232739.884453992,18912985321.843388,0.15639650891714693,191960,161317,20307
2560,2,822009.0,489340.5345001576,3171508926.067423,0.16643835624850206,219351,182102,21194
2560,1,812560.0,2535030.0749794836,170615350683.38528,0.33362741848084015,87438,265808,19213
2560,3,812248.0,825563.9131395728,23137350727.382656,0.4266012189713022,124509,199263,19332
2560,4,824799.0,846162.7514810336,22884465965.366955,0.4016454385229035,128984,217967,21481
2580,2,820287.0,905698.9207833161,26929334156.74653,0.4125416287620795,119697,231604,22555
2580,1,813734.0,528613.4393578997,3449960446.8981028,0.15514849936226585,148720,232005,22253
2580,3,812396.0,904662.2801565456,20433938158.589172,0.3137537845824591,198986,135237,16734
2580,4,825199.0,2154510.469687094,168995443539.96844,0.4574963585366295,92879,266294,19678
2600,2,822872.0,717945.5164088462,21836406620.184555,0.5323632423761653,149780,175116,18546
2600,1,811984.0,834314.4805742446,26529691488.948174,0.478941534058383,118015,230319,22365
2600,3,811176.0,893070.0832992905,12182161654.222778,0.19193896101707558,204811,173495,20157
2600,4,825584.0,2051232.6276277802,159260416538.84674,0.4756504143683827,87676,286210,20152
2620,2,814354.0,822370.4630746727,28348648360.886414,0.5267532381286784,116829,233199,22227
2620,1,825529.0,2292598.8983925506,159566639506.32913,0.38150110840261997,174227,222202,16710
2620,3,820277.0,920803.3721968373,25302712088.35652,0.3750102476990801,165682,168151,17938
