step,district,population,perimeter,area,polsby_popper
2740,4,820102.0,1020288.7565146887,25793592704.850967,0.3113690920234444
2760,2,816419.0,2106847.2808585446,161511746712.63757,0.4572438427028583
2760,1,810785.0,1001191.2578715822,26611057484.43783,0.3336091084134808
2760,3,822238.0,853214.1316657898,28312501271.449585,0.4887334036011792
2760,4,822174.0,329707.287716846,3373370833.6775055,0.38995712178130254
2780,2,815694.0,861591.9404789174,27688723680.15112,0.46871574840919517
2780,1,813682.0,401595.9334908864,3421763993.95778,0.26661298850440984
2780,3,822875.0,2599374.1834937492,182471646221.19116,0.3393654702342744
2780,4,819365.0,621452.5631703723,6226542406.902399,0.20260065594327512
2800,2,816501.0,867049.5825552597,27711290485.14825,0.46321087605595546
2800,1,816482.0,772635.1662654376,21907682421.36361,0.4611660824717431
2800,3,818324.0,2241092.9679492763,166986415235.13815,0.41780271699710536
2800,4,820309.0,462661.9098173291,3203288160.552398,0.1880521833643683
2820,2,824924.0,1854617.3704338884,52419300598.26551,0.19151043376643448
2820,1,821781.0,897714.9696974738,28695533815.79024,0.44745280789795033
2820,3,811047.0,938389.8597915634,26784148113.75284,0.38222676047444176
2820,4,813864.0,2219846.1836824883,111909693774.39383,0.2853854360352227
2840,2,823012.0,796067.9424353488,18758945780.91807,0.37197865658116686
2840,1,819963.0,906335.7495059276,28503260382.387146,0.436039851359484
2840,3,818710.0,2054677.7289434732,162623507587.58658,0.48406731674993775
2840,4,809931.0,867530.1741351407,9922962551.310585,0.1656845596892354
2860,2,809815.0,863721.6231363679,12392868621.578047,0.20875367284719612
2860,1,825850.0,2111328.214492525,160230344713.44638,0.4516927587286781
2860,3,821447.0,854315.9699373259,28426925654.052265,0.4894436609293209
2860,4,814504.0,824044.4094933914,18758537313.125645,0.34714235130828036
2880,2,819167.0,1937059.4989707405,161067665470.82254,0.5394265355344093
2880,1,823487.0,834798.5682109133,24908485845.445084,0.449152479103802
2880,3,816621.0,802445.8592537127,26892934656.450665,0.5248274960355919
2880,4,812341.0,624837.7716881973,6939590329.484009,0.22336192678157468
2900,2,825881.0,1330105.565858446,44191311525.63641,0.3138878702734669
2900,1,813535.0,416299.76092700625,3301181872.790634,0.2393684969356607
2900,3,817517.0,1967291.5228770552,160339767621.28958,0.5206113987562648
2900,4,814683.0,800460.0926811199,11976415282.485645,0.23488611302946208
2920,2,810221.0,2131372.3153776648,160928041498.16827,0.44516698602043986
2920,1,821314.0,935928.934313318,28416348276.285843,0.40765463397604523
2920,3,821397.0,955609.4560182157,29195350718.956566,0.40175628880610603
2920,4,818684.0,262849.4475847294,1268935808.7916133,0.23079977437263358
2940,2,809767.0,807482.3233467969,28245224297.22054,0.5443633073167272
2940,1,824436.0,232535.30018489005,748739580.5280696,0.17400545946403084
2940,3,824958.0,1167310.3891193767,32806266004.72708,0.30254777573490227
